Region,Year,11,21,22,23,24,31,41,42,43,52,71,81,82,90,95
region_2,2018,120622,425603,242179,38727,5853,108949,490,444009,20,2673713,18364822,318213,1842398,83332,331070
region_2,2019,121348,433974,241820,38721,5900,108029,493,435513,21,2666657,18383385,321924,1827341,83173,331701
region_2,2020,110845,447844,239107,38764,6017,108819,492,438145,21,2678417,18382449,326300,1806759,82572,333449
region_2,2021,109350,449958,240241,39195,6120,108792,492,440066,21,2680429,18375690,327330,1805940,82213,334163
region_2,2022,104041,449916,243586,40367,6267,109488,491,442873,21,2694898,18358522,328870,1802325,81927,336408
region_2,2023,113354,452945,245043,40293,6262,108350,495,448738,21,2702921,18349465,332224,1782113,81786,335990
region_3,1994,315715,941024,346266,85485,20357,14225,654348,25382,5684,1180,3404615,1570326,17204849,116774,293770
region_3,1995,323496,945278,346928,85624,20376,14667,653708,26133,5675,1244,3418647,1571593,17180578,116526,289527
region_3,1996,334254,941138,350660,91614,21252,15002,653101,26878,5693,997,3388382,1545060,17230953,116302,278714
region_3,1997,341676,944938,351888,91839,21276,14973,652219,27159,5706,824,3345312,1523127,17290788,116018,272257
region_3,1998,311526,948571,352891,91990,21293,21957,651155,27393,5704,694,3285993,1498943,17373092,116423,292375
region_3,1999,320084,942154,356749,97994,22754,18336,650303,27551,5689,562,3273856,1496418,17380674,116204,290672
region_3,2000,305190,946045,358434,98237,22777,19951,648764,27566,5729,405,3281002,1497222,17374319,116171,298188
region_3,2001,302327,949262,359326,98324,22782,21313,647821,27670,5714,267,3286551,1490716,17370837,116100,300990
region_3,2002,293465,933205,373934,105136,23743,20987,646398,27738,5723,167,3291830,1488274,17366997,116362,306041
region_3,2003,294548,933975,377627,105423,23775,20925,645048,27825,5709,133,3272370,1477785,17393316,116048,305493
region_3,2004,293061,930088,381789,109102,24617,21279,644662,27834,5719,145,3248757,1471774,17418465,115813,306895
region_3,2005,295828,932393,386538,111129,25212,21820,643936,27959,5706,142,3229799,1474523,17423838,115449,305728
region_3,2006,292137,934619,390317,113104,25793,22532,645105,28122,5677,140,3212641,1473476,17434679,115081,306577
region_3,2007,298372,932690,396834,115963,26211,23570,644140,28436,5659,146,3197467,1466631,17443884,114507,305490
region_3,2008,300473,934404,399949,118167,26695,25063,643912,28772,5641,166,3118917,1457741,17521218,114154,304728
region_3,2009,310160,933992,404038,120066,26969,23939,642845,29259,5634,149,2993017,1433907,17662115,113769,300141
region_3,2010,335104,934644,406090,121753,27226,23222,641493,29693,5654,155,2897576,1409844,17768416,111894,287236
region_3,2011,383661,935275,408679,123231,27515,24235,640303,30118,5645,174,2826495,1399295,17834811,103176,257387
region_3,2012,278850,932994,410909,125057,27789,48024,633844,31121,5544,189,2701871,1374945,18018703,102448,307712
region_3,2013,275483,933533,412591,127023,28242,49064,634110,31598,5537,269,2661685,1372486,18056993,101721,309665
region_3,2014,280843,932857,414901,129117,28699,44582,631051,32072,5513,281,2615800,1361066,18114474,100624,308120
region_3,2015,280800,935733,416200,130760,29363,44613,631121,32651,5536,303,2601963,1365315,18115956,100384,309302
region_3,2016,287718,938057,417785,132856,29963,44478,631101,33102,5543,396,2586520,1364653,18119984,99923,307921
region_3,2017,294387,941036,419700,133980,30555,41670,631356,33757,5566,506,2590582,1384187,18086276,99503,306939
region_3,2018,311323,943767,421729,135065,30957,36615,630657,34128,5595,607,2586915,1392580,18070356,98742,300964
region_3,2019,351577,945686,423643,135892,31401,33142,629070,34376,5636,662,2584339,1389062,18053602,95604,286308
region_3,2020,293751,948416,425296,136986,31708,50391,628504,34489,5664,685,2579801,1386015,18077150,95979,305165
