region,year,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_1,1,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_2,2,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
region_3,3,65536,0,0,0,0,0,0,0,0,0,0,0
